,alpha,beta,gamma,tau,scf_bc,nn_scf_bc
0,4,0.2,8,0.2,1.711293066,1.7212497
1,4,0.3,8,0.2,1.243708134,1.248576
2,4,0.4,8,0.2,1.320665342,1.3193333
3,4,0.5,8,0.2,1.415225517,1.4207896
4,4,0.6,8,0.2,1.446997125,1.4531809
5,4,0.7,8,0.2,1.484504646,1.4951354
6,22,0.2,8,0.2,1.709821073,1.7082518
7,22,0.3,8,0.2,1.254045214,1.2564342
8,22,0.4,8,0.2,1.331405069,1.3300878
9,22,0.5,8,0.2,1.394390741,1.3971484
10,22,0.6,8,0.2,1.390455831,1.3945
11,22,0.7,8,0.2,1.396029397,1.4016773
12,40,0.2,8,0.2,1.709829826,1.7083108
13,40,0.3,8,0.2,1.254096765,1.2562562
14,40,0.4,8,0.2,1.331392031,1.3293118
15,40,0.5,8,0.2,1.394396783,1.3983968
16,40,0.6,8,0.2,1.39044735,1.3948808
17,40,0.7,8,0.2,1.396040327,1.3999869
18,4,0.2,14,0.2,1.360376631,1.3949718
19,4,0.3,14,0.2,1.517919815,1.5258592
20,4,0.4,14,0.2,1.683875413,1.6819775
21,4,0.5,14,0.2,1.755696742,1.7507993
22,4,0.6,14,0.2,1.743327049,1.7611227
23,4,0.7,14,0.2,1.811470595,1.8337812
24,22,0.2,14,0.2,1.36285806,1.3893557
25,22,0.3,14,0.2,1.531516415,1.5317172
26,22,0.4,14,0.2,1.670239048,1.6645492
27,22,0.5,14,0.2,1.67598692,1.6685777
28,22,0.6,14,0.2,1.607750029,1.6024921
29,22,0.7,14,0.2,1.620285153,1.616339
30,40,0.2,14,0.2,1.362849321,1.3789648
31,40,0.3,14,0.2,1.531428811,1.5255908
32,40,0.4,14,0.2,1.670251243,1.6647711
33,40,0.5,14,0.2,1.676007794,1.6693324
34,40,0.6,14,0.2,1.607732866,1.6035646
35,40,0.7,14,0.2,1.620249265,1.614959
36,4,0.2,20,0.2,2.275020752,1.8576205
37,4,0.3,20,0.2,1.855068105,1.852184
38,4,0.4,20,0.2,1.898798517,1.892869
39,4,0.5,20,0.2,1.955427069,1.9356534
40,4,0.6,20,0.2,2.039658685,2.031684
41,4,0.7,20,0.2,1.99864197,2.0008597
42,22,0.2,20,0.2,2.274693433,1.7793169
43,22,0.3,20,0.2,1.860279425,1.8544056
44,22,0.4,20,0.2,1.84657166,1.8498093
45,22,0.5,20,0.2,1.78170867,1.7779655
46,22,0.6,20,0.2,1.744458067,1.7463197
47,22,0.7,20,0.2,1.720413505,1.7085383
48,40,0.2,20,0.2,1.672836985,1.7104069
49,40,0.3,20,0.2,1.860283787,1.8541744
50,40,0.4,20,0.2,1.846581335,1.850113
51,40,0.5,20,0.2,1.781681175,1.7790382
52,40,0.6,20,0.2,1.74444448,1.7464839
53,40,0.7,20,0.2,1.720746389,1.7102721
54,4,0.2,26,0.2,1.874994522,1.8852086
55,4,0.3,26,0.2,2.120554143,2.1132967
56,4,0.4,26,0.2,2.074602895,2.061686
57,4,0.5,26,0.2,2.176942937,2.1406946
58,4,0.6,26,0.2,2.190010583,2.183073
59,4,0.7,26,0.2,2.109265797,2.11099
60,22,0.2,26,0.2,1.881263655,1.8656336
